順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
72,オゼックス,40800,220,1.975,5.964,27,73,1,6,21,38,17,9,8
73,スマイルゼミ 料金,40300,220,1.973,16.022,17,83,1,2,33,46,9,5,4
74,進研ゼミ 小学講座,40200,220,1.971,12.022,17,83,1,1,24,58,10,3,3
75,なぞなぞ 幼稚園,35500,220,2.117,-7.96,31,69,1,6,36,35,6,10,6
76,七五三 着物レンタル,39400,210,2,-6.25,11,89,0,5,42,29,5,11,8
77,メプチン,39000,210,1.994,-26.689,24,76,1,11,26,33,15,8,6
78,水疱瘡 出席停止,36900,210,2.007,39.013,16,84,1,3,25,46,13,6,6
79,asd 子供,35600,210,2.074,13.119,11,89,1,4,30,39,12,8,6
80,5種混合ワクチン,35000,210,2.112,28.398,17,83,0,14,41,20,11,10,4
81,手足口病 プール,33900,210,2.096,-109.02,14,86,1,4,46,37,5,4,3
82,くもん,38400,200,1.945,-4.2,17,83,3,6,34,41,9,4,3
83,鬼から電話,38100,200,1.942,-40.176,24,76,2,3,32,39,10,9,5
84,縄跳び 長さ 合わせ方,33000,200,2.072,22.145,34,66,1,3,32,46,9,4,5
85,水イボ,29600,200,2.19,-27.463,19,81,1,8,41,31,10,6,3
86,伝染性紅斑,24000,200,2.41,50.269,27,73,1,9,22,31,17,12,8
87,laq,37300,190,1.923,-4.146,27,73,1,6,38,32,7,9,7
88,公文 月謝,35800,190,1.953,-7.913,23,77,1,3,27,43,12,7,7
89,わんだふるぷりきゅあ 映画,35800,190,1.947,-33.218,23,77,5,11,42,31,6,3,2
90,120907485,34300,190,1.957,-1.084,20,80,0,1,25,62,9,1,2
91,スキビティトイレ,33600,190,1.997,-20.206,35,65,4,8,31,37,10,5,5
92,4種混合ワクチン,32200,190,2.049,40.034,19,81,1,12,32,32,12,7,4
93,サバイバル アニメ,32000,190,2.058,84.569,26,74,2,2,29,53,8,3,3
94,りんご病 出席停止,30900,190,2.102,74.926,13,87,0,3,33,45,10,6,3
95,スマイルゼミ 退会,30700,190,2.083,32.103,18,82,1,1,22,57,14,2,3
96,子供 咳 長引く,25700,190,2.247,-11.553,15,85,0,3,44,43,5,2,3
97,おねしょシーツ,22200,190,2.48,-1.493,22,78,0,5,22,22,21,19,11
98,メザスタ,34200,180,1.94,-68.614,48,52,2,5,40,40,7,3,3
99,電車 子供料金 何歳から,33700,180,1.937,17.806,32,68,1,6,46,34,6,4,3
100,スライム 服 落とし方,33200,180,1.986,-11.163,18,82,0,4,42,35,6,8,5
101,スケーター 水筒,32400,180,1.984,1.381,13,87,0,3,39,40,8,6,4
102,水筒 子供,27200,180,2.122,6.038,9,91,0,3,42,45,4,3,3
103,ドッチボール,33100,170,1.92,-1.955,37,63,6,6,17,39,16,8,8
104,小学校1年生,31700,170,2.008,-3.132,32,68,1,2,25,32,10,15,15
105,算数検定,31700,170,1.959,17.899,22,78,1,1,18,52,15,5,8
106,絵の具セット,28000,170,2.09,19.948,15,85,1,5,34,42,8,5,5
107,リベルタサッカースクール,26300,170,2.095,-1.608,32,68,2,3,30,50,9,3,3
108,蕁麻疹 子供,26200,170,2.143,-9.875,11,89,0,3,44,43,4,3,3
109,ワイドシリン細粒200小児,25800,170,2.142,-21.434,17,83,0,6,42,36,7,5,4
110,手足口病 登校目安,25600,170,2.138,-56.766,11,89,1,4,44,41,6,2,2
111,ウィスク検査,23600,170,2.247,-2.287,17,83,1,5,23,46,16,5,4
112,成長曲線 男子,31400,160,1.928,-10.056,20,80,1,5,38,38,9,5,4
113,おたふくかぜ 予防接種,31300,160,1.921,-24.046,14,86,1,7,41,33,10,5,3
114,トリプタノール,31100,160,1.971,-0.041,28,72,1,8,15,24,25,15,12
115,麻婆豆腐 子供,30500,160,1.924,-14.329,10,90,0,3,43,40,6,4,4
116,31アイスケーキ,29500,160,1.981,-11.449,18,82,2,15,40,32,7,3,1
117,こどもごちめし,28200,160,2.005,-62.728,16,84,1,4,46,36,7,3,3
118,カルボシステイン 子供,26900,160,2.032,-34.011,13,87,0,4,35,47,7,4,3
119,七五三 初穂料,26800,160,2.058,51.108,24,76,0,3,46,35,4,6,6
120,モンベル ランドセル,26300,160,2.108,3.056,25,75,0,2,32,41,10,9,6
121,ブリンバンバンボン 楽譜,26100,160,2.115,-68.492,20,80,3,5,29,39,10,8,6
122,ドミノピザ 体験,25800,160,2.092,23.876,10,90,0,2,44,45,4,3,2
123,発達検査,24400,160,2.132,-11.492,16,84,2,6,23,38,16,8,7
124,チック 子供,24200,160,2.161,11.989,12,88,0,3,30,42,8,10,7
125,キッズ 髪型 男,23700,160,2.148,0.836,41,59,0,2,36,53,6,1,2
126,フルミスト インフルエンザ,23100,160,2.207,2.118,9,91,1,2,31,45,13,5,3
127,乳歯 抜ける順番,20700,160,2.339,47.77,14,86,0,2,34,46,7,5,6
128,体操教室,29700,150,1.935,12.78,18,82,1,3,30,42,8,6,10
129,シダキュア,28800,150,1.97,-8.049,30,70,2,7,19,38,20,9,5
130,水ぼうそう,28800,150,1.952,23.566,20,80,1,5,32,36,13,8,5
131,りんご病 症状,28200,150,1.979,47.583,14,86,2,8,41,34,7,5,3
132,チャレンジタッチ 退会,28000,150,1.958,22.383,15,85,1,0,24,61,11,1,2
133,jssスイミングスクール,27900,150,1.974,-19.331,22,78,2,4,27,43,10,6,8
134,ベイブレードx 大会,27800,150,1.936,-10.537,47,53,1,3,27,49,11,4,5
135,ビッグバン 堺,27300,150,2.005,-32.686,31,69,1,6,34,37,9,8,5
136,一年生 漢字,26900,150,2.032,16.571,21,79,1,3,29,37,7,10,13
137,手足口病 うつる期間,26900,150,1.973,-66.11,12,88,1,8,50,29,6,4,2
138,中耳炎 熱,26200,150,2.017,-18.066,15,85,2,10,45,29,7,5,2
139,オロパタジン 子供,25200,150,2.054,2.373,11,89,0,1,34,53,6,3,3
140,120996085,25100,150,2.096,-64.433,11,89,0,7,58,30,1,2,2
141,キッズケータイ,23200,150,2.102,36.924,22,78,2,6,41,41,6,2,2
142,チャレンジ 小学講座,22800,150,2.121,-12.479,11,89,0,1,25,63,7,1,3
143,バランスイージー,22300,150,2.206,-9.818,14,86,1,2,39,44,7,4,3
144,アレロック顆粒0.5 子供,22100,150,2.192,19.709,15,85,0,3,38,45,6,4,4
145,フェキソフェナジン 子供,21800,150,2.219,4.172,14,86,0,3,35,46,9,4,3
146,チャレンジタッチ タッチペン,21700,150,2.184,-12.7,19,81,1,1,33,55,7,1,2
147,120550904,21400,150,2.194,-76.271,13,87,0,6,57,30,2,3,2
148,アデノイド肥大 子供,20400,150,2.26,12.07,15,85,0,4,35,35,8,10,8
149,トスフロキサシントシル酸塩小児用,19700,150,2.317,-20.743,14,86,1,4,41,40,7,4,3
150,グリローズ,19700,150,2.29,46.442,10,90,0,3,56,33,3,3,2
151,男の子 髪型 短い,19400,150,2.283,15.588,12,88,1,1,33,55,6,2,2
152,卒園式 子供服,18400,150,2.39,96.656,13,87,0,3,41,42,5,5,4
153,ランドセルラック,16900,150,2.443,1.381,16,84,0,2,41,43,7,4,3
154,就学前検診,16400,150,2.465,2.864,10,90,0,4,46,39,5,3,3
155,ローレル指数,26900,140,1.92,8.368,19,81,8,19,20,35,11,4,3
156,二種混合ワクチン,26700,140,1.918,41.039,14,86,2,5,14,46,22,8,3
157,とびひ 薬,26600,140,1.963,-22.479,17,83,1,3,27,40,15,9,5
158,ダイアップ坐剤,26200,140,1.964,-0.023,23,77,0,10,28,27,18,12,5
159,二分脊椎,26100,140,2.032,-8.345,23,77,1,21,26,22,15,10,5
160,土屋鞄 ランドセル,26100,140,1.953,14.883,24,76,1,3,44,33,7,8,4
161,アンヒバ座薬,26100,140,1.935,0.911,22,78,0,10,42,28,9,7,4
162,上 書き順,25500,140,1.952,66.471,26,74,2,4,28,41,11,8,6
163,スキーウェア キッズ,25100,140,1.996,38.402,18,82,0,3,37,44,8,5,3
164,ムーンスター 上履き,25100,140,1.972,49.521,12,88,1,2,28,49,13,3,4
165,5歳 身長,24900,140,2.05,7.811,22,78,1,4,34,34,6,12,9
166,ポケモン イラスト,24800,140,2.009,24.975,22,78,5,11,39,29,6,5,5
167,シャトルラン 平均 小学,24000,140,2.035,10.597,25,75,1,2,33,54,5,2,3
168,50メートル走 平均 小学,24000,140,2.028,-7.887,28,72,1,1,25,56,10,3,4
169,いちご舌,23300,140,2.047,-2.632,18,82,2,10,36,33,10,6,3
170,ビーマスポーツ,22500,140,2.133,43.97,22,78,0,3,42,42,5,4,4
171,オムツ 洗濯機 対処法,21600,140,2.155,8.541,19,81,0,7,59,26,4,2,2
172,子供 熱 上がり下がり,21500,140,2.136,-8.257,16,84,0,5,48,38,4,3,2
173,サバイバルシリーズ,21200,140,2.138,4.298,21,79,6,6,21,46,10,5,6
174,入学式 女のコ 服,20200,140,2.228,19.191,9,91,0,3,35,39,6,11,6
175,水イボ 放置すると,20200,140,2.225,-1.701,15,85,1,3,37,38,9,8,4
176,卒園 メッセージ 子供へ,19800,140,2.226,78.965,12,88,0,5,31,35,13,10,6
177,メプチンドライシロップ,19200,140,2.245,4.917,17,83,0,6,42,38,7,4,3
178,ララちゃんランドセル,18600,140,2.262,23.165,17,83,1,4,43,36,6,6,4
179,ランドセルカバー 人気,16100,140,2.448,81.001,13,87,0,1,28,51,9,7,4
180,萬勇鞄,15600,140,2.451,-1.488,15,85,0,3,50,35,4,5,3
181,アイロンビーズ 図案,25800,130,1.939,-2.475,16,84,3,6,29,33,13,10,6
182,水疱瘡 子供,24800,130,1.924,6.033,26,74,1,5,35,35,8,8,8
183,交通安全ポスター,24000,130,1.926,-31.901,24,76,5,2,23,49,12,4,5
184,バッタ エサ,23900,130,1.99,-85.987,33,67,1,2,33,39,8,7,10
185,トイザらス 自転車,23600,130,1.959,15.437,30,70,0,3,41,32,8,10,6
186,手足口病 熱,23400,130,1.972,-70.748,17,83,1,8,54,29,3,3,2
187,目やに 子供,23300,130,2.019,-14.415,15,85,0,7,54,31,3,3,2
188,カナヘビ エサ,23200,130,1.968,-19.931,43,57,2,4,28,43,10,6,7
189,プレオルソ,23000,130,1.966,-4.863,16,84,1,5,37,43,8,3,3
190,鉛筆削り 電動,22400,130,2.012,8.295,22,78,0,2,29,41,10,9,9
191,チャレンジウェブ,22300,130,1.978,-1.826,24,76,1,1,17,60,15,2,4
192,手足口病 口の中,22000,130,2.04,-36.382,15,85,1,10,54,27,4,2,2
193,バブリゾート,21800,130,2.078,-80.758,15,85,0,3,41,43,7,4,2
194,長靴 キッズ,21800,130,2.047,-34.416,10,90,0,2,31,49,9,5,4
195,あんしんウォッチャー,21600,130,2.018,20.65,29,71,0,2,35,46,10,3,4
196,手足口病 かゆい,21500,130,2.072,-71.177,16,84,1,8,49,33,4,3,2
197,サッカーボール 4号,19800,130,2.112,34.708,47,53,1,1,27,50,10,5,6
198,クックルン レシピ,19700,130,2.142,-28.067,9,91,1,1,39,44,7,3,5
199,子供にイライラが止まらない,19600,130,2.157,-30.528,9,91,1,5,41,43,7,1,2
200,ホクナリンテープ 子供,19100,130,2.192,-43.216,15,85,0,3,39,42,7,5,4
201,貯金箱 工作 小学生,19000,130,2.178,-65.202,24,76,0,1,29,54,9,3,4
202,メラトベル,16800,130,2.336,8.003,26,74,2,9,18,34,21,10,6
203,オノンドライシロップ,16700,130,2.361,6.705,17,83,0,6,39,40,7,4,4
204,スノーブーツ キッズ,16600,130,2.292,14.633,16,84,0,2,33,49,8,4,4
205,リアルピース イベント,23400,120,1.917,10.925,21,79,1,5,44,35,7,5,3
206,過活動膀胱,23300,120,2.001,0.02,33,67,2,10,13,20,21,17,17
207,メダル 折り紙,23200,120,1.965,-5.6,8,92,2,14,33,31,11,6,3
208,小学生 髪型,22400,120,1.931,6.34,29,71,1,1,25,61,9,1,2
209,5歳,22300,120,2.013,-9.134,25,75,2,5,28,34,10,10,11
210,スタジオマリオ 七五三,21800,120,2.005,-31.986,13,87,0,4,49,37,4,3,3
211,カービィ イラスト,21400,120,2.036,-2.663,18,82,4,7,28,37,10,8,6
212,みまもりgps,21000,120,2.017,25.76,29,71,0,2,30,45,12,5,6
213,ワンダフルパクト,20800,120,2.045,-65.666,26,74,3,6,46,31,4,6,4
214,グローバルワーク キッズ,20500,120,2.052,-1.785,9,91,1,1,28,53,8,5,4
215,jpcスポーツ教室,20400,120,2.005,12.159,31,69,1,5,33,40,10,7,4
216,筆箱 小学校 女子,20300,120,1.997,77.567,15,85,1,2,28,50,8,5,6
217,小児喘息,20000,120,2.046,-0.635,26,74,1,9,38,28,9,8,7
218,マイクラ レゴ,20000,120,2.037,38.705,26,74,1,2,36,42,6,8,5
219,逆上がり コツ,19700,120,2.104,16.415,33,67,1,4,26,43,10,8,8
220,溶連菌 子供 症状,19600,120,2.13,1.816,16,84,0,7,52,31,4,3,3
221,浮き輪 サイズ 目安,19600,120,2.059,-50.091,19,81,1,5,28,50,10,3,3
222,溶連菌 熱なし,19300,120,2.059,6.162,10,90,2,6,39,42,7,2,2
223,停留精巣,19100,120,2.154,-21.86,25,75,1,15,33,25,13,9,4
224,6歳 身長,18900,120,2.171,-5.369,25,75,2,3,29,35,8,12,11
225,名札クリップ,18700,120,2.165,62.864,15,85,1,5,30,42,11,6,5
226,リリコ ランドセル,18400,120,2.17,67.141,11,89,1,5,43,33,8,7,3
227,アスペルガー 子供,18300,120,2.157,0.992,9,91,1,3,24,39,13,11,9
228,モンテルカスト細粒4mg,17900,120,2.188,-4.304,17,83,0,6,46,34,5,5,4
229,溶連菌 子供,17000,120,2.221,-2.108,20,80,1,6,50,33,5,3,2
230,ランドセル 展示会 2025,16900,120,2.244,69.191,20,80,0,2,46,32,4,9,7
231,キッズカット 男,16800,120,2.239,-39.763,20,80,0,4,46,41,5,2,2
232,パルミコート,16500,120,2.293,-37.69,26,74,0,10,25,30,16,11,8
233,中村鞄 ランドセル,16300,120,2.268,26.03,17,83,0,1,44,40,5,6,4
234,かるすぽ ランドセル,16200,120,2.296,19.676,19,81,1,4,39,33,6,10,7
235,オヤスミマン,13600,120,2.434,0.259,22,78,2,7,53,26,4,5,3
236,120421012,13600,120,2.391,-124.298,18,82,0,1,44,48,3,2,2
237,入学式 男の子,13400,120,2.441,80.073,11,89,0,2,40,40,5,8,5
238,おとな おねしょ 原因,9600,120,2.846,-0.016,27,73,2,14,30,28,19,5,2
239,スピード トランプ,22500,110,1.924,3.647,30,70,8,12,27,36,8,4,5
240,上靴,21400,110,1.952,21.058,17,83,3,7,30,39,12,5,4
241,防災頭巾,21400,110,1.949,103.064,18,82,1,6,30,38,12,7,6
242,らくがキッズ,21400,110,1.942,15.077,32,68,1,3,39,44,6,4,3
243,bot トーク,21400,110,1.925,-13.663,20,80,1,1,29,47,12,5,5
244,反対咬合,21200,110,1.919,-26.505,19,81,3,10,34,31,11,6,5
245,じゃぶじゃぶ池,20900,110,1.971,-70.078,31,69,1,3,38,40,8,6,4
246,ブンブンジャー 映画,20900,110,1.919,-44.972,35,65,2,8,45,31,7,4,3
247,エンテロウイルス,20800,110,2.013,-47.929,25,75,1,11,28,28,16,10,6
248,キッズデュオ 料金,20500,110,1.974,14.987,11,89,0,2,43,42,5,4,4
249,工作 小学生,20500,110,1.933,-11.757,24,76,1,2,19,46,13,9,10
250,も 書き順,20400,110,1.95,42.726,26,74,2,7,35,38,9,5,4
251,5歳 男の子 プレゼント,20300,110,1.978,-24.296,24,76,0,3,32,27,10,17,11
252,ポケモンフレンダ ケース,20100,110,2.003,22.065,40,60,1,6,43,37,6,4,3
253,2年生 漢字,19800,110,2.013,24.989,21,79,0,3,28,43,8,9,9
254,おかあさんといっしょ 卒業,19800,110,1.932,139.03,18,82,1,4,42,40,6,4,3
255,小牧こども未来館,19400,110,2.004,26.572,24,76,1,5,45,30,5,8,6
256,ブンブンジャーショー,19300,110,2.053,-68.908,33,67,1,4,43,33,7,8,4
257,トド英語,18900,110,2.055,26.852,13,87,1,2,41,41,6,4,5
258,ヘルパンギーナ 出席停止,18700,110,2.079,-120.127,12,88,1,6,40,35,9,6,3
259,デイナの恐竜図鑑,18600,110,2.08,-17.94,26,74,1,2,36,42,7,6,6
260,アセトアミノフェン 子供,17900,110,2.097,-26.312,16,84,1,3,34,45,7,4,6
261,ポケモン おもちゃ,17700,110,2.138,1.999,27,73,0,4,51,32,4,6,3
262,クロックス キッズ,17500,110,2.16,-7.323,13,87,0,3,29,44,10,9,5
263,子供 耳が痛い,17200,110,2.146,-11.148,24,76,0,4,49,40,4,2,1
264,や 書き順,17200,110,2.112,16.056,29,71,1,4,34,43,9,5,4
265,小児慢性特定疾患,17100,110,2.155,-12.163,23,77,2,12,21,33,20,7,5
266,ツロブテロールテープ1mg,17100,110,2.101,-3.633,16,84,0,3,37,41,8,5,6
267,支援学級に入る基準,16400,110,2.208,28.92,9,91,1,2,25,46,11,8,7
268,子供 歯ぎしり 睡眠中,16300,110,2.21,22.065,22,78,0,3,50,39,4,2,2
269,筆箱 小学校 男子,16300,110,2.165,87.083,15,85,1,2,30,51,8,4,4
270,鼻血がよく出る原因 子供,16300,110,2.164,47.005,15,85,2,2,28,47,12,4,5
271,wisc 検査,16100,110,2.201,-25.571,17,83,1,9,21,38,17,9,5
272,アスベリンサン 10% 子供,16000,110,2.22,-86.38,16,84,0,5,43,41,5,3,3
273,アスベリンドライシロップ,15900,110,2.238,-12.126,18,82,0,4,38,40,8,6,4
274,田中ビネー知能検査,15800,110,2.212,-15.939,20,80,1,11,25,36,15,8,4
275,努力賞ポイント交換,15800,110,2.158,6.08,13,87,4,1,23,62,7,1,2
276,イフミー 上履き,15600,110,2.221,0.262,8,92,0,3,45,42,6,2,2
277,乳歯ケース,15500,110,2.231,-16.22,10,90,0,2,36,45,7,6,4
278,6歳臼歯,15100,110,2.305,-24.559,14,86,1,4,34,43,8,5,5
279,母子分離不安,14700,110,2.292,-33.005,13,87,1,7,35,37,10,6,4
280,オゼックス細粒小児用,14000,110,2.365,-8.854,18,82,1,4,35,41,9,6,4
281,ガスト アンパンマン,19800,100,1.93,0.868,16,84,0,7,60,25,3,3,2
282,日本脳炎 予防接種 副反応,19600,100,1.947,-31.114,14,86,2,7,44,33,7,4,3
283,レッスンバッグ 作り方,19100,100,1.969,58.057,6,94,0,2,27,29,8,18,16
284,公文 英語,18700,100,1.938,23.174,14,86,1,1,20,54,14,4,6
285,手足口病 爪が剥がれる,18000,100,2.024,-68.882,17,83,1,7,48,32,6,4,2
286,手足口病 食べやすいもの,18000,100,1.963,-119.124,22,78,0,6,53,32,4,3,2
287,反復性耳下腺炎,17700,100,2.052,18.523,18,82,2,6,30,37,13,7,5
288,カブトムシ 卵,17300,100,2.051,-54.788,40,60,1,4,32,40,11,7,5
289,はやり目 出席停止,17100,100,2.044,54.568,15,85,1,6,35,37,12,6,3
290,さよならぼくたちのようちえん,17100,100,2.041,89.339,20,80,6,18,26,31,9,6,4
291,1リットル デシリットル,16900,100,2.094,-56.797,27,73,1,2,24,46,10,6,11
292,髪型 男の子,16700,100,2.061,-7.222,13,87,1,1,26,65,4,1,2
293,子供 頭を打った,16500,100,2.028,35.871,24,76,0,6,53,33,4,2,2
294,100マス計算,16400,100,2.055,46.204,29,71,3,6,23,41,14,7,6
295,アシックス レーザービーム,16400,100,2.017,-6.244,29,71,1,1,20,59,14,2,3
296,子供 鼻血 よく出る,16000,100,2.098,-2.118,26,74,0,3,44,43,6,2,2
297,子供 下痢が続く 元気,16000,100,2.08,-18.167,14,86,0,6,53,33,4,2,2
298,ソリフェナシンコハク酸塩,15900,100,2.17,22.974,31,69,0,9,12,21,24,18,16
299,スポ少,15900,100,2.122,32.7,28,72,2,2,23,55,13,3,2
300,子供 肺炎 症状,15800,100,2.079,8.49,16,84,0,6,48,33,5,5,3
301,クラバモックス小児用,15600,100,2.13,3.937,20,80,0,6,39,35,10,6,4
302,耳が痛い 子供,15300,100,2.095,15.49,16,84,1,2,39,48,5,2,3
303,ほねほねザウルス switch,14900,100,2.116,78.099,46,54,1,4,34,48,7,3,3
304,モンテルカスト 子供,14800,100,2.169,-18.316,14,86,0,3,42,43,6,3,3
305,au キッズ携帯,14700,100,2.165,10.682,27,73,0,3,32,50,11,2,2
306,パックンチョ 折り紙 折り方,14300,100,2.269,-41.233,20,80,2,11,53,24,3,4,3
307,手足口病 感染期間,14200,100,2.248,-89.554,12,88,0,9,51,27,6,5,2
308,しまじろう きねん,14200,100,2.181,-5.24,13,87,0,3,46,44,3,2,2
309,鞄工房山本,13800,100,2.254,-0.476,24,76,0,2,37,32,9,10,10
310,6歳 誕生日プレゼント 男,13400,100,2.289,5.54,25,75,0,3,35,30,7,15,10
311,ランドセル 収納,13200,100,2.319,56.884,15,85,0,1,41,48,5,2,3
312,ワイドシリン,13000,100,2.307,-7.286,23,77,1,8,38,35,9,5,4
313,子供 熱中症 症状,13000,100,2.29,-91.162,18,82,0,4,48,37,5,3,3
314,ニノニナランドセル,12700,100,2.321,16.15,10,90,0,3,56,31,3,4,3
315,プールバッグ 男の子,12400,100,2.371,-64.397,9,91,0,2,36,51,6,3,2
316,山本鞄 ランドセル,11800,100,2.431,-10.058,19,81,0,1,39,44,6,6,4
317,胃腸炎 子供,11300,100,2.472,43.057,18,82,0,7,51,34,4,2,2
