順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
75,hsp,247000,50,1.459,-53.88,26,74,7,15,21,26,19,8,4
76,サンリオ キャラクター,245000,50,1.441,27.095,26,74,6,12,21,26,16,12,7
77,ヘルパンギーナ,241000,50,1.631,-152.376,26,74,1,9,33,27,12,11,7
78,ヒラキ,231000,50,1.527,-13.066,19,81,1,3,20,33,20,13,10
79,チック症,220000,50,1.555,-6.053,37,63,4,10,21,28,19,11,7
80,溶連菌 症状,215000,50,1.607,-89.075,20,80,2,8,30,32,11,10,7
81,七五三,213000,50,1.613,-83.565,31,69,1,4,22,22,13,21,17
82,ジュニアシート,207000,50,1.656,-13.775,32,68,0,5,35,30,10,13,7
83,水疱瘡,199000,50,1.823,20.662,30,70,3,8,28,31,12,9,9
84,ランドセル,196000,50,1.753,-18.211,26,74,2,7,27,29,12,13,10
85,子供,188000,50,1.72,-46.991,30,70,2,4,23,28,11,14,18
86,レゴランド 名古屋,169000,50,1.976,-21.152,30,70,3,10,32,32,9,9,5
87,アデノウイルス 子供,167000,50,1.923,-7.145,17,83,0,6,39,28,8,13,6
88,喘息 症状,160000,50,1.982,12.621,23,77,6,14,20,24,14,10,12
89,インクルーシブとは,144000,50,2.034,-8.972,37,63,2,4,8,19,23,21,23
90,こどもちゃれんじ,100000,50,2.396,-63.678,19,81,1,4,41,36,7,7,4
91,リタリコ,41800,50,3.225,-21.001,29,71,1,9,19,33,22,10,6
92,児童発達支援,20600,50,4.03,-41.298,25,75,0,7,22,34,20,11,6
93,なばなの里,277000,40,1.309,2.891,38,62,3,14,17,19,20,15,12
94,志摩スペイン村,274000,40,1.303,-46.895,36,64,3,14,26,28,13,9,7
95,ハンバーグ,264000,40,1.321,-25.459,32,68,2,12,20,25,19,10,12
96,ほうれん草 胡麻和え,264000,40,1.317,39.641,18,82,1,7,21,26,21,13,11
97,ロコイド軟膏,261000,40,1.324,-0.97,25,75,1,7,17,23,20,16,16
98,叔母 伯母 違い,252000,40,1.341,22.302,24,76,1,4,12,23,25,20,15
99,くも膜下出血,248000,40,1.355,8.312,38,62,3,11,14,21,23,15,13
100,動物占い 無料 生年月日,247000,40,1.38,34.554,17,83,2,12,21,30,24,8,3
101,パウパトロール,245000,40,1.402,-16.04,32,68,1,8,33,27,11,13,7
102,肉じゃが,241000,40,1.357,-41.227,23,77,1,13,24,27,18,9,8
103,在宅ワーク 求人,233000,40,1.31,-17.913,20,80,1,13,25,29,21,8,3
104,呼吸器内科,227000,40,1.47,-23.777,32,68,1,5,14,25,24,17,14
105,マイクラ 映画,227000,40,1.334,83.355,34,66,5,6,27,44,11,4,3
106,セリア 通販,226000,40,1.484,121.923,19,81,4,11,19,22,24,14,6
107,ディズニーチケット,226000,40,1.465,-17.672,22,78,10,28,23,20,12,5,2
