順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
76,屠殺,98000,40,1.484,-73.893,34,66,1,3,12,32,33,14,5
77,稚拙,96800,40,1.58,-30.304,49,51,3,6,10,21,26,18,16
78,ワンダフルプリキュア,96400,40,1.509,-65.803,27,73,4,11,37,30,6,7,5
79,リコリスリコイル,92100,40,1.597,-1.153,70,30,11,19,23,21,17,6,3
80,歯肉炎,91400,40,1.578,2.079,32,68,4,11,16,22,21,14,12
81,親知らず,88200,40,1.561,12.143,45,55,11,24,19,18,14,7,7
82,インプラント,85100,40,1.633,-24.541,40,60,2,10,14,20,24,17,13
83,えろ漫画,83800,40,1.754,-105.57,61,39,46,35,7,6,4,1,1
84,インビザライン,82100,40,1.679,-4.457,25,75,3,14,21,30,20,8,4
85,twitter保存ランキングtwidouga,81900,40,1.938,-167.669,87,13,35,47,9,4,3,1,1
86,カウプ指数,77500,40,1.674,-79.234,13,87,1,15,47,25,5,4,3
87,ロシデレ,75800,40,1.821,-15.507,83,17,24,24,20,15,11,4,2
88,ブルアカ,71100,40,1.853,-55.921,75,25,16,27,26,17,9,3,2
89,ニフェジピン,69500,40,1.964,22.362,35,65,1,14,12,19,22,16,16
90,慮る,64800,40,1.984,18.019,48,52,5,8,11,18,22,19,17
91,慟哭,63300,40,2.1,-6.454,45,55,4,8,14,20,23,19,12
92,乖離,60900,40,2.116,-56.027,47,53,6,10,14,20,22,15,13
93,放課後化学クラブ,57500,40,2.057,23.126,51,49,17,18,20,24,15,4,2
94,低ナトリウム血症,53500,40,2.051,-7.185,33,67,1,18,17,21,21,13,9
95,軋轢,52300,40,2.294,-4.914,50,50,6,8,11,18,22,17,18
96,根管治療,52200,40,2.182,-5.126,32,68,2,10,18,26,23,13,8
97,エリキュース,51300,40,2.153,-11.564,36,64,0,14,14,21,22,15,14
98,日常生活自立度,43100,40,2.273,1.344,35,65,1,20,20,25,20,10,4
99,ワンショットアンダーパピー,34900,40,2.681,-34.411,76,24,22,37,26,10,3,1,1
100,セキレイちゃんと僕,18300,40,3.367,22.089,95,5,15,37,28,13,5,1,1
101,幼馴染とセ○レになった日,16400,40,3.26,146.321,71,29,12,32,28,17,7,2,2
102,フラストレーションガールズ,13800,40,3.462,52.031,88,12,13,41,28,12,4,1,1
103,スパカイラクーア hitomi,13500,40,3.574,-42.507,96,4,21,53,19,4,2,1,0
104,オタクの僕が一軍ギャルと付き合うまでの話,13000,40,3.608,44.529,95,5,14,42,30,9,3,1,1
105,おしおきっ!,12700,40,3.656,21.115,91,9,49,29,11,6,3,1,1
106,1/5の恋愛感情,11800,40,3.73,77.946,97,3,22,47,22,6,2,1,0
107,未来になれなかったあの日から,11500,40,3.654,-42.479,93,7,6,43,34,11,4,1,1
108,パパ活セーブデータ,7800,40,4.121,195.048,97,3,18,47,24,7,2,1,1
109,昔は楽しかった,7600,40,4.087,21.537,82,18,12,37,28,13,6,2,2
110,昔は楽しかったhitomi,7100,40,4.269,6.753,91,9,16,48,25,6,3,1,1
111,幾花にいろ,3700,40,4.97,0,85,15,10,28,30,19,9,3,1
112,口へんに交わる,1600,40,5.719,0,31,69,6,24,16,21,20,9,4
113,suv,111000,30,1.304,-34.049,54,46,5,25,20,19,14,8,9
114,アルビノ,108000,30,1.309,-19.239,34,66,7,10,17,24,19,12,11
115,多発性硬化症,107000,30,1.342,4.259,26,74,1,9,11,19,24,20,16
116,ディズニーストア オンライン,104000,30,1.324,-18.35,11,89,7,17,29,25,13,7,2
117,ヘマトクリットとは,103000,30,1.389,-34.497,27,73,1,10,11,18,24,18,18
118,word,101000,30,1.412,46.97,54,46,8,12,9,14,19,16,22
119,リスペリドン,98000,30,1.369,-26.084,28,72,1,13,15,24,24,15,8
120,セレコキシブ,97400,30,1.405,-23.164,37,63,1,9,10,16,22,20,22
121,fgo,97300,30,1.37,-67.324,68,32,6,29,35,17,7,3,3
122,黄色,97000,30,1.305,-2.823,40,60,7,6,7,12,15,23,30
123,twitter保存ランキング,95700,30,1.581,-110.208,86,14,42,45,7,3,2,1,0
124,キミとアイドルプリキュア♪,95500,30,1.357,-20.279,30,70,11,16,33,24,8,5,3
125,アンパンマン 映画,95500,30,1.305,16.848,29,71,2,10,45,25,6,7,5
126,傲慢,94800,30,1.46,25.784,44,56,6,11,13,18,20,16,16
127,寂しいと淋しいの違い,94300,30,1.36,-45.708,28,72,2,3,5,15,25,24,26
128,顔面神経麻痺,93000,30,1.379,2.017,32,68,1,5,11,22,27,19,15
129,誕生鮨,92500,30,1.412,79.257,21,79,15,39,25,12,5,2,2
130,アトルバスタチン,91500,30,1.445,-43.425,33,67,0,9,9,17,25,21,19
131,マウスピース,90700,30,1.424,0.985,39,61,4,7,10,19,26,20,14
132,リマプロストアルファデクス錠5μg,90500,30,1.371,-116.99,35,65,0,5,7,13,19,21,35
133,豆腐,89800,30,1.452,1.95,30,70,2,7,14,21,22,16,18
134,崩壊スターレイル,89200,30,1.337,-9.085,64,36,18,28,25,15,8,3,3
135,エンレスト,88900,30,1.407,-21.813,37,63,0,12,15,23,24,14,12
136,プルコギ,88500,30,1.451,0.438,34,66,4,12,17,22,20,13,12
137,フェブキソスタット,88300,30,1.466,3.012,46,54,1,11,13,21,24,17,13
138,看護師国家試験,88100,30,1.313,45.983,31,69,3,21,9,20,27,12,8
139,エストロゲン,87900,30,1.37,-19.179,24,76,2,11,14,25,24,13,11
140,忖度,87700,30,1.437,12.858,43,57,3,7,15,23,20,15,17
141,ニンテンドースイッチ2 抽選,87300,30,1.402,222.931,56,44,6,14,21,30,17,8,4
142,シナジーとは,86800,30,1.311,-17.494,52,48,2,8,10,16,21,19,24
143,とびひ,86500,30,1.344,-10.362,23,77,2,8,32,29,13,9,7
144,癇癪,85600,30,1.363,-35.211,44,56,3,10,22,22,22,14,7
145,魑魅魍魎,84900,30,1.546,-55.906,46,54,6,9,11,17,20,17,20
146,マルファン症候群,84800,30,1.362,-21.197,22,78,3,17,19,22,20,13,6
147,シャトレーゼホテル,84200,30,1.335,-115.992,27,73,1,12,21,24,22,13,7
148,遂行 意味,84100,30,1.395,22.87,37,63,2,5,9,21,31,19,13
149,魔法つかいプリキュア,84100,30,1.333,-33.016,40,60,13,13,26,29,12,4,3
150,旅行 国内,83400,30,1.428,-10.011,43,57,3,10,12,21,24,16,14
151,アルブミンとは,83400,30,1.383,-16.97,35,65,2,8,5,11,19,23,32
152,タケキャブ,82600,30,1.502,16.252,36,64,1,18,12,18,19,15,17
153,メゾピアノ,82300,30,1.326,-141.162,14,86,5,19,29,22,11,9,5
154,ホグワーツレガシー,82200,30,1.393,-9.05,54,46,6,26,35,19,9,3,2
155,自己免疫疾患,82100,30,1.335,3.562,23,77,3,8,12,23,25,16,13
156,やぶさかではない 意味,81500,30,1.339,5.065,42,58,3,9,13,20,21,20,14
157,えろまんが,81200,30,1.404,-58.564,62,38,43,27,10,10,6,2,2
158,フォント 変換,81200,30,1.375,16.448,11,89,44,33,12,5,2,1,3
159,柔道整復師,81000,30,1.448,-18.295,40,60,5,11,14,26,24,11,9
160,逝去,81000,30,1.345,-16.723,54,46,2,5,12,21,27,18,15
161,凪,80900,30,1.357,-12.316,44,56,4,8,15,19,21,17,16
162,アスピリン,80500,30,1.313,-35.994,35,65,2,17,14,19,17,14,17
163,ロシア語でデレるアーリャさん,80200,30,1.38,-167.632,77,23,16,22,23,19,14,4,2
164,ゼラニウム,80100,30,1.376,83.731,25,75,2,6,10,16,21,20,25
165,嘆きの亡霊は引退したい,80000,30,1.338,-44.935,75,25,3,17,27,24,19,7,3
166,カラミざかり,79800,30,1.471,60.069,74,26,17,23,21,21,13,4,1
167,日本国憲法,79600,30,1.551,-3.735,54,46,16,10,8,21,17,12,16
168,ピタゴラスイッチ,79500,30,1.312,76.943,31,69,3,5,23,31,14,14,10
169,片桐はいり,79400,30,1.336,-64.16,42,58,8,14,15,19,18,13,13
170,俯瞰,79100,30,1.621,7.475,42,58,5,8,12,19,23,17,16
171,ビソプロロールフマル酸塩,78800,30,1.467,24.226,32,68,1,11,11,19,22,18,18
172,麻雀 ルール,78800,30,1.447,-20.101,46,54,10,21,13,13,14,11,18
173,えろ動画,78600,30,1.539,-97.628,55,45,32,34,11,10,7,3,3
174,ダンまち,78500,30,1.361,-72.702,81,19,6,18,27,24,18,5,2
175,シンフォギア4,78400,30,1.384,63.031,89,11,1,24,40,21,9,3,2
176,すみっコぐらし キャラクター,78300,30,1.406,-68.139,22,78,2,9,25,26,16,14,8
177,漫画ロウ,78100,30,1.465,80.797,82,18,27,36,21,10,4,1,1
178,重症筋無力症,78100,30,1.375,34.465,33,67,2,17,16,21,21,14,9
179,とある科学の超電磁砲,78100,30,1.359,-75.115,76,24,11,21,24,21,15,5,3
180,黒岩メダカに私の可愛いが通じない,78000,30,1.465,-15.746,72,28,13,22,23,18,15,6,3
181,小泉構文,77200,30,1.433,-93.772,51,49,16,19,16,22,16,6,5
182,ピーマン 冷凍,77200,30,1.362,-7.869,14,86,1,9,16,19,22,17,16
183,1型糖尿病,76900,30,1.536,68.713,36,64,3,12,14,21,21,16,13
184,好き嫌いドットコム,76600,30,1.5,-82.853,36,64,19,19,17,16,15,8,6
185,にんじんしりしり,76200,30,1.5,-65.637,19,81,2,12,23,21,17,12,13
186,渚みつき,75700,30,1.348,-80.108,92,8,8,15,18,21,20,11,7
187,オールドファッション,75400,30,1.422,-3.648,36,64,11,17,20,22,18,7,5
188,各位 使い方,75400,30,1.333,18.06,54,46,1,8,12,23,28,17,11
189,陰の実力者になりたくて,75000,30,1.662,-21.802,81,19,12,22,24,19,16,5,2
190,若山詩音,74700,30,1.459,-8.348,69,31,8,22,26,21,16,5,2
191,社会福祉士 受験資格,74400,30,1.363,-1.259,24,76,1,7,13,27,31,14,7
192,ローラ av,73900,30,1.477,-168.888,90,10,3,27,38,21,8,2,1
193,年賀状 いつまで 元旦に届く,73800,30,1.457,64.942,35,65,2,7,26,29,15,9,12
194,こういうのがいい,73300,30,1.538,-15.228,80,20,7,21,32,24,11,3,2
195,スターレイル,73200,30,1.611,43.372,63,37,11,27,30,18,9,3,2
196,貶める,73200,30,1.531,-21.047,52,48,3,4,7,16,24,23,23
197,前髪 切り方,73200,30,1.521,-26.878,14,86,6,7,15,31,26,10,5
198,廃用症候群とは,73000,30,1.726,15.43,27,73,2,13,10,16,25,21,13
199,レペゼン,72900,30,1.367,-48.531,42,58,5,11,26,30,19,6,3
200,四面楚歌,72800,30,1.71,6.05,44,56,10,9,10,18,18,15,20
201,しまじろう,72800,30,1.405,27.812,32,68,4,11,31,25,13,10,6
202,顰蹙,72400,30,1.543,-34.921,54,46,4,6,8,16,23,22,21
203,彼女お借りします,71900,30,1.477,-75.023,86,14,13,23,27,19,12,4,2
204,大阪市立科学館,71500,30,1.464,-45.864,34,66,5,14,18,29,13,10,11
205,滲出性中耳炎,70500,30,1.512,3.574,22,78,2,8,26,28,15,12,9
206,僧帽筋,70400,30,1.481,14.303,41,59,6,18,20,22,18,9,7
207,アデノイド,70300,30,1.492,-14.404,35,65,6,16,24,23,14,10,7
208,公安とは,70000,30,1.475,26.909,44,56,6,15,16,22,20,13,8
209,胸郭出口症候群,69800,30,1.455,-38.849,35,65,2,11,16,25,24,13,9
210,英検4級,69400,30,1.514,37.423,26,74,7,2,8,51,21,4,7
211,ノブレスオブリージュ,69200,30,1.531,-17.833,47,53,7,14,15,19,19,14,12
212,仙骨,69100,30,1.516,-13.435,34,66,3,10,14,20,22,16,15
213,アイロンビーズ,68700,30,1.416,25.421,21,79,3,6,26,38,12,9,6
214,コミック,68600,30,1.733,-1.238,33,67,7,9,17,26,19,12,10
215,ワーファリン,68100,30,1.488,0.22,35,65,0,10,10,17,23,19,21
216,所見とは,68100,30,1.445,57.359,45,55,2,7,12,24,28,17,10
217,愛スクリーム,67700,30,1.531,81.592,48,52,10,24,29,23,9,3,2
218,漸く,67300,30,1.55,-42.11,53,47,4,7,12,23,25,15,14
219,ポリコレ,66900,30,1.484,-0.74,59,41,3,9,17,22,23,16,10
