順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
69,授乳中 食べ物,10300,100,3.951,-63.965,9,91,0,23,58,11,4,3,1
70,赤ちゃん 体温,10200,100,4.008,-18.893,25,75,0,18,58,15,3,4,2
71,生後1ヶ月 寝ない,10000,100,3.99,-39.814,13,87,0,18,58,12,4,6,2
72,赤ちゃん ほっぺ 赤い,9600,100,3.989,60.783,18,82,0,17,62,14,3,3,1
73,離乳食 ブレンダー,9100,100,4.036,44.925,12,88,0,17,59,15,4,3,2
74,赤ちゃん 足の裏 湿ってる,8000,100,4.177,4.323,9,91,0,19,66,11,1,2,1
75,産後 抜け毛,7500,100,4.27,1.568,6,94,0,13,65,17,2,2,1
76,遊び飲み 赤ちゃん,6500,100,4.468,10.06,7,93,0,21,65,9,2,2,1
77,搾乳 保存,6100,100,4.444,-36.333,6,94,0,21,64,11,2,1,1
78,赤ちゃん テレビ,6100,100,4.434,8.293,26,74,0,15,63,15,2,3,2
79,生後2ヶ月 指しゃぶり,6000,100,4.461,-3.245,7,93,0,22,60,12,2,3,1
80,ベビースイミング,10000,90,3.909,24.801,11,89,0,16,54,15,5,7,3
81,離乳食 卵,9900,90,3.908,92.475,5,95,0,13,66,15,2,3,1
82,新生児 くしゃみ,9500,90,3.978,-61.598,20,80,0,19,59,14,3,4,1
83,離乳食 しらす,8600,90,4.018,77.22,6,94,0,16,64,14,2,3,1
84,赤ちゃん 奇声をあげる,8500,90,3.987,71.694,27,73,0,14,58,15,5,6,2
85,赤ちゃん 平熱,8400,90,4.074,4.198,20,80,0,18,63,13,2,3,1
86,離乳食 ツナ缶,8400,90,4.038,138.879,4,96,0,17,65,14,1,2,1
87,哺乳瓶拒否,8000,90,4.166,8.254,9,91,0,25,61,8,1,3,2
88,新生児 抱っこの仕方,7700,90,4.104,-66.906,27,73,0,19,60,11,4,5,1
89,吐き戻し 多い,7400,90,4.129,-25.34,8,92,0,23,64,7,1,2,3
90,生後5ヶ月 睡眠時間,7300,90,4.179,61.181,9,91,0,19,63,12,2,3,1
91,離乳食 うどん,7100,90,4.183,104.6,6,94,0,15,66,13,2,3,1
92,タミータイム やり方,7100,90,4.175,-25.412,9,91,0,21,64,10,2,2,1
93,2ヶ月 予防接種,6300,90,4.32,-14.226,8,92,0,20,60,9,3,6,2
94,うつ伏せ 練習,6100,90,4.42,-16.953,10,90,0,13,61,12,3,8,3
95,産後 生理,5000,90,4.58,-12.065,7,93,0,18,66,11,2,2,1
96,腰すわり いつ,9200,80,3.898,67.581,9,91,0,19,65,12,1,2,1
97,生後5ヶ月 ミルクの量,8600,80,3.918,62.061,7,93,0,21,59,13,3,3,1
98,授乳 姿勢,8600,80,3.887,-57.014,24,76,4,20,50,11,4,6,5
99,母乳相談室,8300,80,3.95,-36.899,9,91,0,15,58,17,4,4,2
100,離乳食 豆乳,7800,80,4.042,123.174,4,96,0,20,65,11,1,2,1
101,離乳食 本,7700,80,4.03,47.195,4,96,0,20,63,12,2,2,1
102,赤ちゃん 吐き戻し,7600,80,3.997,-22.418,32,68,0,16,60,15,3,4,2
103,新生児 鼻詰まり,7500,80,4.034,-50.542,18,82,0,23,64,9,1,2,1
104,赤ちゃん 柔軟剤,7400,80,4.035,-18.513,14,86,0,20,62,11,3,3,1
105,離乳食 アレルギー 症状,7300,80,4.08,98.915,6,94,0,16,65,14,1,3,1
106,赤ちゃん 反り返り,7200,80,4.136,15.306,18,82,0,14,60,15,4,5,2
107,離乳食 トマトペースト,7200,80,4.08,96.245,3,97,0,15,68,13,1,2,1
108,吸いだこ 赤ちゃん,7000,80,4.132,-28.288,13,87,1,21,57,11,4,4,2
109,赤ちゃん 熱,7000,80,4.078,32.447,21,79,1,16,58,14,4,5,2
110,生後6ヶ月 ミルクの量,7000,80,4.067,81.152,8,92,0,20,59,14,3,3,1
111,吐き戻し いつ終わる,6900,80,4.174,2.016,16,84,0,17,59,14,3,5,2
112,赤ちゃん レッグウォーマー,6900,80,4.071,13.645,5,95,0,15,64,13,3,4,1
113,赤ちゃん 麦茶,6800,80,4.148,78.638,14,86,0,16,62,14,3,3,2
114,赤ちゃん あせも 治し方,6800,80,4.127,-22.084,12,88,0,16,59,16,3,4,2
115,クーイング,6600,80,4.223,-16.7,15,85,3,18,51,12,6,7,3
116,赤ちゃん 寝返り,6500,80,4.146,4.969,34,66,0,12,48,17,7,11,5
117,新生児 湿疹,6400,80,4.176,-58.165,16,84,1,17,54,13,6,7,2
118,いちご 離乳食,6400,80,4.14,149.441,7,93,0,14,63,17,2,3,1
119,ボディスーツ 赤ちゃん,6100,80,4.25,0,4,96,0,17,67,11,1,3,1
120,差し乳,6000,80,4.265,-11.466,3,97,0,20,66,9,2,2,1
121,ヨーグルト 離乳食,6000,80,4.203,124.694,5,95,0,13,68,14,2,2,1
122,新生児 指しゃぶり,5700,80,4.367,-48.965,18,82,0,20,62,11,2,4,1
123,赤ちゃん お風呂 時間,5700,80,4.312,3.386,19,81,0,19,63,12,2,3,1
124,赤ちゃん 室温,5500,80,4.313,-1.311,22,78,0,17,64,14,2,2,1
125,赤ちゃん 鼻くそ,5500,80,4.293,-15.951,20,80,0,16,66,12,2,3,1
126,新生児 うんち,5400,80,4.365,-55.485,12,88,0,24,61,9,3,2,1
127,トマトペースト 離乳食,8000,70,3.888,92.492,4,96,0,18,69,10,1,1,1
128,10倍がゆ,7700,70,3.916,66.549,9,91,0,17,64,12,2,3,2
129,離乳食 ほうれん草,7500,70,3.916,91.576,8,92,0,13,63,16,2,4,2
130,哺乳瓶 洗剤,7400,70,3.977,-64.832,15,85,0,17,57,12,4,7,3
131,にんじん 離乳食,7200,70,3.977,83.195,11,89,0,17,63,14,2,3,1
132,赤ちゃん 脱水 サイン,7100,70,3.989,-2.249,13,87,0,18,65,11,2,2,2
133,へその緒 取れた後,7100,70,3.972,-59.386,14,86,0,23,60,9,3,4,1
134,新生児 横向きで寝る,7100,70,3.931,-56.368,18,82,0,25,57,10,3,4,1
135,離乳食 卵白 進め方,7100,70,3.93,127.408,2,98,0,14,70,13,1,1,1
136,おくるみ いつまで,7000,70,4.036,-2.462,13,87,0,20,54,13,4,6,3
137,離乳食 冷凍 期間,6900,70,4.035,86.281,5,95,0,23,62,10,2,2,1
138,ずり這い,6700,70,4.028,52.824,18,82,0,19,49,13,7,9,3
139,赤ちゃん ゲップせずに寝る,6700,70,3.983,-29.139,27,73,0,19,61,13,3,3,1
140,ささみ 離乳食,6700,70,3.961,158.194,8,92,0,12,64,18,2,3,1
141,授乳中 生理,6700,70,3.947,16.491,6,94,0,16,62,16,2,2,2
142,寝返り返り いつから,6600,70,4.088,45.012,13,87,0,19,58,11,3,7,2
143,卵白 離乳食 進め方,6600,70,3.992,137.099,2,98,0,15,72,11,0,2,0
144,赤ちゃん 熱 お風呂,6600,70,3.979,92.442,18,82,0,20,62,12,2,3,1
145,寝かしつけ 方法,6500,70,4.023,-15.775,28,72,3,15,53,17,5,5,2
146,乳頭混乱,6500,70,4.01,-30.175,7,93,0,20,61,11,3,4,1
147,赤ちゃん 飛行機のポーズ,6400,70,4.084,73.853,13,87,0,16,59,13,4,6,2
148,赤ちゃん 枕,6400,70,4.026,-10.583,20,80,0,15,57,16,5,5,2
149,授乳時間,6300,70,4.027,-48.774,7,93,0,21,59,11,3,4,2
150,産後 痔,6200,70,4.131,-52.559,4,96,0,21,63,11,2,2,1
151,よだれかぶれ,6100,70,4.173,28.144,6,94,0,19,63,11,2,3,2
152,おしゃぶり 寝る時,6100,70,4.129,-21.366,16,84,0,21,58,13,2,4,2
153,オムツサイズ 目安 月齢,6100,70,4.045,22.057,10,90,0,18,43,16,12,9,2
154,バウンサー いつまで,6000,70,4.074,13.981,10,90,0,13,62,16,3,4,2
155,ツナ 離乳食,5900,70,4.12,114.294,5,95,0,14,67,14,1,2,2
156,離乳食 パン,5900,70,4.064,126.73,6,94,0,11,64,19,3,2,1
157,吐き戻し,5800,70,4.207,-49.843,25,75,1,12,36,22,14,12,3
158,夜泣きとは,5800,70,4.165,17.405,14,86,1,24,59,11,2,2,1
159,授乳間隔,5800,70,4.133,-40.423,8,92,0,22,61,10,2,4,1
160,6ヶ月 ミルク 量,5700,70,4.225,104.386,11,89,0,14,59,15,5,5,2
161,赤ちゃん あせも,5700,70,4.184,23.078,12,88,0,18,63,12,2,3,2
162,寝返り防止,5600,70,4.159,18.836,18,82,0,20,58,14,3,3,2
163,赤ちゃん 寝返り 夜 対策,5400,70,4.204,39.155,33,67,0,14,61,17,3,4,1
164,搾乳 常温,5200,70,4.318,-37.324,3,97,0,23,65,8,1,2,1
165,赤ちゃん 日焼け止め いつから,5100,70,4.334,32.663,5,95,0,20,63,12,1,3,1
166,綿棒浣腸,5000,70,4.259,-8.131,9,91,1,19,62,11,2,3,2
167,睡眠退行 4ヶ月,4900,70,4.294,61.934,9,91,0,17,65,10,3,4,1
168,寝返り いつ,4500,70,4.389,4.118,14,86,0,16,60,12,4,6,2
169,120308887,4500,70,4.369,-25.01,10,90,1,26,53,13,3,2,2
170,ゆびたこ,4400,70,4.439,0.004,17,83,1,9,62,21,4,2,1
171,赤ちゃん 服装 気温,4200,70,4.447,10.534,4,96,0,16,68,12,1,2,1
172,新生児 しゃっくり 多い,7100,60,3.895,-58.598,15,85,0,31,57,6,2,3,1
