順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
75,サラフィネ 口コミ,5400,150,3.281,0.006,15,85,1,3,11,36,33,11,5
76,埋没毛,24800,140,1.736,2.911,51,49,10,24,29,21,10,4,2
77,多汗症 治療,21600,140,1.855,-4.877,36,64,5,13,17,22,22,11,10
78,裏mbti,21200,140,1.895,30.7,16,84,49,31,9,6,3,1,1
79,顎ニキビ,19900,140,1.947,12.728,11,89,9,39,31,13,5,2,1
80,顔タイプ,22400,130,1.805,-34.375,6,94,14,44,25,10,4,2,1
81,毛穴,21500,130,1.746,1.957,21,79,7,16,25,27,15,6,4
82,生理こない,21200,130,1.83,-10.551,16,84,19,45,21,10,3,1,1
83,シャポ庫,20500,130,1.902,-14.183,7,93,61,30,2,4,2,0,1
84,鼻 角栓,20200,130,1.793,8.052,45,55,8,18,29,26,13,4,2
85,歯並び,20000,130,1.816,3.114,28,72,7,17,24,26,14,7,5
86,加齢臭 女性,19300,130,1.842,5.975,8,92,1,3,11,31,32,14,8
87,ミョウバン水,18200,130,1.942,0.281,30,70,1,4,13,29,30,14,9
88,口臭,17000,130,1.962,-0.006,35,65,5,11,20,26,19,9,10
89,アポバスターf 口コミ,7900,130,2.715,-7.444,27,73,1,3,9,34,37,12,4
90,アポクリン腺,5600,130,3.152,0.001,41,59,4,18,21,21,16,11,9
91,脇 黒ずみ,14500,120,2.046,-8.469,13,87,8,25,30,24,10,2,1
92,ラピフォートワイプ,11700,120,2.282,2.724,24,76,2,10,20,32,22,9,5
93,脇毛,7900,120,2.69,11.521,59,41,17,18,16,18,14,9,8
94,自臭症,5300,120,3.105,7.02,25,75,19,25,19,16,14,4,3
95,心理機能診断,21300,110,1.731,8.819,11,89,38,42,10,4,4,1,1
96,我慢汁,20100,110,1.727,10.746,56,44,15,26,22,15,10,6,6
97,キスマーク,19800,110,1.656,-29.444,34,66,12,30,25,19,9,3,2
98,へそのごま,19600,110,1.697,16.454,34,66,9,20,24,19,13,7,8
99,セルフカラー,18700,110,1.771,-23.937,6,94,8,21,33,25,7,3,3
100,短所,18000,110,1.775,6.013,27,73,22,23,12,20,14,5,4
101,脇の黒ずみを消したい,18000,110,1.767,-6.096,8,92,8,20,23,26,18,4,1
102,脇,15100,110,1.922,-3.501,52,48,7,13,18,21,18,12,11
103,塩化アルミニウム,13000,110,2.139,1.733,38,62,12,9,15,29,21,9,5
104,加齢臭,12200,110,2.15,0.302,44,56,3,9,18,25,22,13,10
105,脇の匂い対策,8700,110,2.487,0,36,64,7,20,23,25,16,6,3
106,すそが 治し方,5900,110,2.877,-0.006,17,83,8,31,26,20,12,2,1
107,アポクリン汗腺 除去,4500,110,3.203,0.006,38,62,6,24,27,22,13,4,4
108,バイク骨タイヤ,20000,100,1.652,32.802,63,37,41,27,12,11,6,2,1
109,脱毛 医療,19600,100,1.654,13.395,12,88,8,37,15,17,14,5,4
110,浮気,18800,100,1.655,21.909,46,54,9,19,19,20,15,8,10
111,セミダブル,18700,100,1.682,2.848,36,64,6,32,26,16,11,5,4
112,ポッキー占い,18200,100,1.702,23.544,9,91,74,14,3,5,3,1,0
113,腐女子,18200,100,1.658,13.917,43,57,10,13,14,21,20,14,8
114,真性包茎,17700,100,1.717,4.862,50,50,16,32,24,15,8,3,2
115,生理 下痢,16700,100,1.811,-22.412,4,96,7,28,34,24,5,1,1
116,口ゴボ,16200,100,1.845,18.806,23,77,13,28,25,18,10,4,2
117,好きな人に好かれたい,14400,100,1.87,11.298,28,72,27,15,13,26,14,3,2
118,ワキ毛 処理,13500,100,2.038,0.007,49,51,22,22,17,19,13,3,4
119,脇ボトックス,7900,100,2.52,0.082,10,90,3,30,28,23,12,3,1
120,脇汗 黄ばみ,5200,100,2.848,0.003,37,63,5,12,17,30,23,9,4
121,ビーリアル スクショ,17600,90,1.696,14.427,48,52,52,32,3,7,5,1,0
122,インスタオンライン非表示,16700,90,1.77,-44.781,42,58,47,30,5,8,7,2,1
123,織物 酸っぱい 匂い,16500,90,1.718,-2.094,3,97,7,40,29,16,6,1,1
124,鼻の中 ニキビ,16200,90,1.76,0.424,31,69,15,31,30,15,6,2,1
125,ニードル脱毛,15700,90,1.771,11.319,30,70,4,32,25,20,13,4,2
126,蓄膿,15600,90,1.727,47.729,35,65,3,15,31,26,14,6,5
127,歯並び 悪すぎ,15500,90,1.733,-5.783,31,69,8,12,23,33,16,5,3
128,鼻整形,15400,90,1.782,19.233,18,82,17,31,17,15,13,5,2
129,しこりニキビ,14900,90,1.78,13.11,21,79,12,40,29,11,5,2,1
130,面長,14100,90,1.814,1.9,34,66,19,23,22,18,10,4,4
131,イニオスプラス,12500,90,1.923,-5.036,31,69,17,18,15,24,19,5,2
132,フケ,12400,90,1.916,3.881,45,55,9,15,21,25,15,8,7
133,脇がかゆい 原因,9200,90,2.179,0.249,25,75,6,15,18,28,20,7,6
134,デオナチュレ さらさらクリーム,6500,90,2.569,4.967,22,78,9,17,21,25,18,7,3
135,塩化アルミニウム 制汗剤,6000,90,2.623,0.005,25,75,4,11,16,29,25,10,5
136,すそわきが どんな匂い,6000,90,2.601,6.598,20,80,3,14,27,29,18,6,3
137,エクロックゲル 効果,5100,90,2.793,1.929,22,78,3,10,19,32,24,8,4
138,リフレア デオドラントクリーム,4800,90,2.889,1.907,23,77,3,12,19,25,25,10,6
139,ロゼミューズ,17400,80,1.651,12.316,10,90,25,52,11,5,5,1,1
140,バナナボート 意味,16600,80,1.66,130.824,51,49,64,28,3,3,1,0,1
141,eカップ,16300,80,1.648,-38.662,56,44,16,31,24,15,9,3,2
142,dカップ,15900,80,1.646,9.757,56,44,21,30,21,14,8,3,3
143,ノエミー,15600,80,1.652,-62.822,8,92,48,24,6,11,8,2,1
144,カラコン 通販,15400,80,1.667,-36.383,4,96,21,49,16,7,5,1,1
145,黒ニキビ,14100,80,1.672,19.667,23,77,11,26,23,22,12,4,2
146,制汗剤 ランキング,14100,80,1.658,0.002,18,82,4,10,16,25,25,13,7
147,トラガス,14000,80,1.761,-64.2,27,73,19,27,20,17,10,4,3
148,いちご鼻,13500,80,1.788,-14.901,34,66,13,24,22,20,13,5,3
149,ワキ毛 女子,13300,80,1.671,0,71,29,8,10,13,20,23,15,11
150,生理前 腰痛,13200,80,1.721,37.614,5,95,4,21,40,27,5,2,1
151,cカップ,13000,80,1.808,-2.917,53,47,27,28,19,13,7,3,3
152,歯茎に口内炎,12800,80,1.782,50.399,23,77,10,30,23,19,12,4,2
153,脇が痛い,12100,80,1.814,0,24,76,6,15,18,23,22,11,5
154,366日 いつまで,12000,80,2.042,131.025,23,77,62,23,3,6,4,1,1
155,恋みくじ おみくじ堂,11500,80,2.01,6.393,10,90,63,29,2,4,2,0,0
156,熱を出す方法,11100,80,1.981,-26.199,34,66,63,18,5,8,4,1,1
157,魚臭症,11100,80,1.942,24.63,19,81,2,12,27,29,20,7,3
158,恋みくじ 相性,10500,80,2.001,164.151,11,89,78,15,1,3,2,0,1
159,汗脇パッド,9900,80,2.016,3.108,15,85,1,4,18,37,27,9,4
160,足臭い,9300,80,2.161,24.97,44,56,8,24,24,23,14,4,3
