順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
74,毛穴,22000,270,2.444,-17.003,20,80,6,16,26,27,15,6,4
75,コメド,17100,270,2.699,0.029,16,84,7,22,26,23,13,5,4
76,白ニキビ 大量発生 突然,16400,270,2.754,0.001,14,86,5,29,26,20,12,5,3
77,黒ニキビ,14400,270,2.876,0.003,24,76,11,26,23,22,12,4,2
78,ニキビ 飲み薬,9900,270,3.243,0.001,27,73,5,27,26,25,14,2,1
79,anua,42600,260,1.745,3.676,13,87,5,23,25,21,17,6,3
80,プルエスト,34900,260,2.021,29.182,22,78,13,17,12,17,19,13,9
81,シミ,30300,260,2.055,4.276,28,72,2,7,17,28,24,12,10
82,皮膚科 ニキビ,15600,260,2.818,0.002,23,77,19,37,15,15,10,2,2
83,恋愛診断,38500,250,1.837,2.769,25,75,59,25,4,7,3,1,1
84,耳垢,36400,250,1.831,0,43,57,3,9,20,27,20,11,10
85,ホルモンバランスを整える,28400,250,2.109,0.02,15,85,6,22,26,28,12,3,3
86,おでき,19000,250,2.505,-0.001,37,63,4,11,15,23,23,14,10
87,オロナイン ニキビ,15000,250,2.763,0.41,28,72,15,24,21,22,13,2,3
88,ニキビ治療,6700,250,3.588,0,25,75,9,29,16,21,19,4,2
89,白髪,40600,240,1.712,0.747,35,65,3,6,20,30,20,10,11
90,キヌユイ,38400,240,1.81,-14.398,16,84,17,22,18,23,14,4,2
91,鼻ニキビ 原因,21800,240,2.39,-0.05,30,70,21,34,20,14,8,2,1
92,おでこニキビ原因,20300,240,2.457,-0.002,24,76,19,43,18,12,6,1,1
93,アダパレン,18200,240,2.522,0.024,21,79,5,24,23,24,16,5,3
94,プロアクティブ 学割,12000,240,2.859,0.002,20,80,3,1,5,51,33,3,4
95,ニキビ 芯,8200,240,3.343,0,34,66,8,24,32,23,9,2,2
96,にきび,5700,240,3.699,0,32,68,9,13,21,26,15,8,8
97,好きな人,39000,230,1.71,-8.183,34,66,21,15,14,24,17,5,4
98,ペアアクネクリーム,17300,230,2.578,0.299,25,75,15,27,20,20,12,4,2
99,ニキビに効く食べ物,9600,230,3.133,-0.009,26,74,12,31,15,19,19,3,1
100,プロアクティブ 口コミ,9000,230,3.144,0.002,15,85,7,6,6,44,31,3,3
101,ニキビ パック,8400,230,3.316,0,15,85,14,41,23,13,6,2,1
102,大人ニキビ,8100,230,3.279,0,26,74,3,24,27,22,16,5,3
103,ニキビ 種類,6100,230,3.629,0,26,74,14,39,28,12,5,1,1
104,ミノサイクリン,37200,220,1.698,5.026,36,64,1,19,20,24,19,9,8
105,ゼビアックス油性クリーム,35600,220,1.77,0.001,25,75,2,9,20,28,20,11,10
106,鼻詰まり,35600,220,1.746,25.027,33,67,4,13,26,27,17,8,5
107,ロキシスロマイシン,30400,220,1.933,0.221,26,74,4,19,21,26,16,7,7
108,アダパレンゲル0.1,20000,220,2.366,1.24,19,81,10,22,17,25,18,5,3
109,顎ニキビ 繰り返す,18500,220,2.418,-1.876,10,90,5,34,33,18,7,2,1
110,イソトレチノイン 副作用,18300,220,2.461,6.456,27,73,7,34,21,17,16,3,2
111,クレアラシル,12300,220,2.78,0,39,61,7,12,14,27,23,10,7
112,ニキビ ステロイド,10300,220,2.966,0,23,77,2,17,32,33,11,3,2
113,黄ニキビ 治し方,8900,220,3.237,0.003,22,78,25,35,22,12,4,1,1
114,思春期ニキビ,5600,220,3.575,0,20,80,18,7,17,43,13,1,1
115,スキンケア,30900,210,1.87,3.06,32,68,9,17,16,18,17,12,11
116,ロゼックスゲル,30900,210,1.857,3.828,21,79,1,8,15,26,24,14,12
117,こめかみ ニキビ,23100,210,2.188,-0.56,23,77,9,35,28,17,7,2,2
118,ニキビ跡 レーザー治療,22300,210,2.225,0.003,23,77,8,38,25,16,9,2,2
119,白ニキビ 潰すべきか,14200,210,2.7,0,32,68,22,37,19,13,6,2,1
120,にきび 治らない,6500,210,3.434,12.101,23,77,10,21,15,24,23,4,3
121,おでこ ブツブツ,30000,200,1.849,0,18,82,7,20,23,22,16,8,4
122,クリンダマイシン,28600,200,1.907,-0.004,37,63,5,26,20,21,15,8,5
123,洗顔,26100,200,1.984,0.833,26,74,11,19,22,18,14,8,8
124,脂腺増殖症,25500,200,1.976,18.266,15,85,4,11,21,30,22,8,4
125,ベピオローション2.5%,14700,200,2.537,36.808,21,79,9,20,19,28,17,4,3
126,ニキビに効く薬,11100,200,2.834,-0.002,23,77,11,21,19,25,18,4,2
127,パントテン酸,33800,190,1.701,6.21,26,74,3,20,21,20,18,10,8
128,汗管腫,28900,190,1.825,-12.014,12,88,1,8,17,27,27,13,7
129,ロキシスロマイシン150,28400,190,1.815,21.738,28,72,1,6,11,25,31,15,11
130,ドゥーホワイト,25100,190,1.982,-23.315,15,85,20,18,17,27,14,3,1
131,頬 ニキビ 原因,11900,190,2.75,2.946,16,84,12,45,29,9,3,1,1
132,ニキビ かゆい 理由,7600,190,3.201,0,16,84,11,38,26,16,7,1,1
133,そばかす,32400,180,1.712,0.003,38,62,8,15,21,21,12,9,14
134,水ぶくれ,30000,180,1.746,-3.392,38,62,12,18,19,22,15,8,6
135,皮膚炎,29800,180,1.739,0,38,62,3,9,14,20,21,16,17
136,水イボ,29600,180,1.715,-0.014,19,81,1,8,41,31,10,6,3
137,二重,27300,180,1.875,0.011,33,67,13,15,15,19,16,10,12
138,顎 ニキビ 原因,23700,180,1.987,-14.487,16,84,8,33,32,17,7,2,1
139,ほくろ,21900,180,2.049,-1.683,35,65,6,11,19,25,17,11,11
140,クリンダマイシンリン酸エステルゲル,17000,180,2.325,6.678,24,76,8,18,17,26,19,6,6
141,アヌア アゼライン酸,16800,180,2.391,13.227,20,80,12,36,28,14,7,2,1
142,ノンコメドジェニック,11700,180,2.661,0.672,16,84,7,27,22,22,15,4,3
