順位,キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
56,愛着障害とは,116000,40,1.458,14.884,19,81,8,19,20,24,17,8,4
57,看護師,118000,40,1.45,15.366,40,60,5,9,12,20,21,17,16
58,海外サッカー,131000,40,1.352,12.198,88,12,3,11,21,30,19,9,7
59,カナダ,137000,40,1.308,9.076,50,50,4,6,8,16,20,18,28
60,姓名判断 無料,129000,40,1.303,3.258,17,83,1,4,14,24,32,18,7
61,抗精神病薬,22200,30,2.933,5.082,34,66,2,16,14,20,23,16,9
62,妊娠中絶,18300,30,2.868,4.425,33,67,3,12,15,21,20,14,15
63,dna型鑑定,22300,30,2.817,18.938,32,68,1,4,12,22,26,18,17
64,花田光司(貴乃花 光司),24200,30,2.713,13.243,33,67,0,1,3,13,23,23,37
65,大悟(お笑い芸人),26400,30,2.708,2.074,46,54,1,2,10,25,29,17,16
66,裁判員裁判,29800,30,2.624,13.162,44,56,3,8,15,24,23,14,13
67,性教育,32300,30,2.62,1.556,41,59,5,7,14,24,21,14,15
68,略取誘拐事件,27300,30,2.576,2.08,34,66,2,5,14,26,24,14,15
69,日本映画,33700,30,2.348,12.307,44,56,1,3,6,17,27,24,22
70,フランス共和国,33800,30,2.335,2.541,40,60,1,2,6,15,23,23,30
71,od,40500,30,2.325,14.215,36,64,12,13,14,20,20,13,8
72,ネグレクト,45700,30,2.248,1.014,39,61,6,8,14,21,20,16,15
73,噂,52600,30,2.087,17.368,45,55,2,4,9,20,25,19,21
74,ハルシオン,59200,30,2.023,15.147,41,59,1,8,12,21,24,17,17
75,ソラナックス,55400,30,2.02,6.107,34,66,1,7,12,22,26,17,15
76,腎不全,57000,30,1.868,16.989,41,59,2,8,12,19,25,19,15
77,中西正男,65500,30,1.835,6.368,46,54,1,3,10,22,26,20,18
78,神奈川県の事件事故情報,61200,30,1.827,1.574,40,60,1,5,13,25,26,16,14
79,胃がん,71000,30,1.792,17.194,36,64,2,7,9,16,22,19,25
